gene,log2FC,p_value
ENSG00000010072,-0.05719216206394379,0.21786358116376364
ENSG00000010165,-0.032444073805564876,0.4397357327495468
ENSG00000010219,0.08605618980077377,0.6455709412454348
ENSG00000010244,0.14275953940729236,0.09483168679764459
ENSG00000010256,-0.10735578452076303,0.11289140192820181
ENSG00000010270,0.02458934598600062,0.6860498638910186
ENSG00000010278,-0.01683936012275588,0.8736600520283069
ENSG00000010292,0.2229261915876397,7.428629383578668e-06
ENSG00000010295,0.1117279573185312,0.21434442717805827
ENSG00000010310,-0.2025697989718085,0.26756502696121587
ENSG00000010318,-0.22193701185840134,0.0028450322035274795
ENSG00000010319,,0.002508533858914308
ENSG00000010322,0.2255637058694766,0.002967478082361948
ENSG00000010327,0.41324061733049594,4.463061034725147e-05
ENSG00000010361,-0.17665810376145302,0.008861873299679818
ENSG00000010379,0.15984089358774636,0.1593726530754846
ENSG00000010404,-0.09354821293943033,0.2774761140506878
ENSG00000010438,-0.2219930042558273,0.10242747065989577
ENSG00000010539,-0.14378648533310837,0.0090164446332166
ENSG00000010610,0.44423099117578424,4.4532164352991747e-05
ENSG00000010626,-0.034003848074006277,0.7110741818450689
ENSG00000010671,0.36968135295076393,0.03310661960609696
ENSG00000010704,-0.053578065834842994,0.28250118587790723
ENSG00000010803,0.09363996616946323,0.12466831795265854
ENSG00000010810,0.21028718712124472,0.0001011182823147905
ENSG00000010818,0.2061374163313465,0.11025538303076128
ENSG00000010932,1.0409105110560986,0.0017172179316374857
ENSG00000011007,-0.21450217022999968,5.053322408465935e-07
ENSG00000011009,-0.13765269808664876,0.07115572253431286
ENSG00000011021,0.1532646836182498,0.06028463983082682
ENSG00000011028,0.42896060800251246,2.361988698862986e-06
ENSG00000011083,0.0339130632425129,0.9711071117605736
ENSG00000011105,0.0034264892001461475,0.9470419864721609
ENSG00000011114,-0.051539411802474136,0.2221619620041479
ENSG00000011132,-0.15627408323886025,0.17443167602676535
ENSG00000011143,0.0005213214780165934,0.9919751686215954
ENSG00000011198,0.09851248025147084,0.1922206343000757
ENSG00000011201,0.1858783520055221,0.30987225450061745
ENSG00000011243,0.12619049919767375,0.08112535909697353
ENSG00000011258,0.06276439333979793,0.2860406419732581
ENSG00000011260,-0.03413299495718196,0.5711573300573942
ENSG00000011275,0.027186216829470748,0.2824581678144102
ENSG00000011295,0.05482055621126061,0.16261283491494175
ENSG00000011304,-0.06653970485112819,0.2004372329443981
ENSG00000011332,0.7231160824448932,0.07304770718377329
ENSG00000011347,0.2789057489223955,0.01512904093942974
ENSG00000011376,0.05549444304923373,0.13011754367485134
ENSG00000011405,0.04558027110561188,0.43604391919187846
ENSG00000011422,0.7953763640113664,0.0028218364869231423
ENSG00000011426,0.4531703465313417,0.039739138810279975
ENSG00000011451,-0.0795800802347328,0.1451980681298342
ENSG00000011454,0.16114311658819122,0.005144526315023254
ENSG00000011465,0.1492237807470566,0.10531839870791763
ENSG00000011478,-0.21435493669974748,0.05984941999681862
ENSG00000011485,-0.05084886122482308,0.32976286701482094
ENSG00000011523,0.044479947371754605,0.3127289003807193
ENSG00000011566,0.018485310687123932,0.7087818879577865
ENSG00000011590,0.1994471723296881,0.7939842475066179
ENSG00000011600,0.30589505888856533,0.023315680766782296
ENSG00000011638,0.3669049607864809,0.10954610814068634
ENSG00000011677,-0.1279676355298834,0.7186823247589051
ENSG00000012048,0.34536976590259166,0.0015892890390156668
ENSG00000012061,0.005056144172014805,0.9242716616517956
ENSG00000012124,0.47974345647990285,0.09660500230024403
ENSG00000012171,-0.186289583759046,0.11961219581327763
ENSG00000012174,-0.05999053219622358,0.14811494433288563
ENSG00000012211,-0.1147865151453439,0.06793328914468554
ENSG00000012223,0.3289021824663571,0.03971170626588212
ENSG00000012232,-0.19899417338746536,0.0016601459673540207
ENSG00000012504,-0.02227006062589898,0.701837914675209
ENSG00000012660,0.15130754311409647,0.03737885198828105
ENSG00000012779,0.31290414434045494,0.0004083087939177392
ENSG00000012817,0.25321523334765084,0.4747339155958885
ENSG00000012822,0.14557663972806306,0.009048057058645389
ENSG00000012963,-0.18192115805878104,0.004524793913255807
ENSG00000012983,0.021611397853761694,0.707632049977376
ENSG00000013016,0.29812844838617547,0.011186119844692366
ENSG00000013275,0.0325946365092211,0.7124058114110552
ENSG00000013288,0.01107335396927366,0.831982417424389
ENSG00000013293,-1.2425583830629565,0.03277551530092399
